numbers_of_terms,numbers_of_modes,maximum_lengths_of_terms,maximum_bosonic_occupations,circuit_types,numbers_of_qubits,nonclifford_rotation_counts,left_elbow_counts,right_elbow_counts,rescaling_factors
1,1,1,1,USP,7,0,4,3,65.98989681088176
1,1,1,1,ASP,6,0,4,3,32.99494840544088
527,1,1,1,USP,14,16,26,20,935.5580860490186
527,1,1,1,ASP,13,20,26,20,355.5105019133726
1053,1,1,1,USP,14,16,26,20,644.2732076395725
1053,1,1,1,ASP,13,20,26,20,321.74069912384704
1579,1,1,1,USP,14,16,26,20,1077.5956465493753
1579,1,1,1,ASP,13,20,26,20,380.80626329621526
2106,1,1,1,USP,14,16,26,20,676.1292513881127
2106,1,1,1,ASP,13,20,26,20,273.90165602129883
2632,1,1,1,USP,14,16,26,20,570.1851556533169
2632,1,1,1,ASP,13,20,26,20,274.4038660156702
3158,1,1,1,USP,14,16,26,20,812.5085937155477
3158,1,1,1,ASP,13,20,26,20,409.0680305991011
3684,1,1,1,USP,14,16,26,20,676.5380899007623
3684,1,1,1,ASP,13,20,26,20,332.52971534934323
4211,1,1,1,USP,14,16,26,20,585.8460895648041
4211,1,1,1,ASP,13,20,26,20,237.98697841568426
4737,1,1,1,USP,14,16,26,20,818.1734528076552
4737,1,1,1,ASP,13,20,26,20,271.28528234808925
5263,1,1,1,USP,14,16,26,20,960.5060288646316
5263,1,1,1,ASP,13,20,26,20,365.3092612406064
5789,1,1,1,USP,14,16,26,20,1083.2752822929594
5789,1,1,1,ASP,13,20,26,20,493.82348875403557
6316,1,1,1,USP,14,16,26,20,799.9146518053632
6316,1,1,1,ASP,13,20,26,20,431.77605750860994
6842,1,1,1,USP,14,16,26,20,605.7172940358215
6842,1,1,1,ASP,13,20,26,20,283.5038912481182
7368,1,1,1,USP,14,16,26,20,646.2704389159217
7368,1,1,1,ASP,13,20,26,20,300.906933763515
7894,1,1,1,USP,14,16,26,20,630.5524380142449
7894,1,1,1,ASP,13,20,26,20,284.20528019433885
8421,1,1,1,USP,14,16,26,20,1010.9560744936325
8421,1,1,1,ASP,13,20,26,20,375.8010074442816
8947,1,1,1,USP,14,16,26,20,761.7094078908337
8947,1,1,1,ASP,13,20,26,20,284.29459634127323
9473,1,1,1,USP,14,16,26,20,837.711812103232
9473,1,1,1,ASP,13,20,26,20,371.0082506600095
10000,1,1,1,USP,14,16,26,20,659.721963775775
10000,1,1,1,ASP,13,20,26,20,338.4065162116166
1,1,2,1,USP,9,4,6,5,173.182643108113
1,1,2,1,ASP,8,4,6,5,86.5913215540565
527,1,2,1,USP,19,76,114,91,9838.592484951065
527,1,2,1,ASP,18,94,114,91,2062.56092457692
1053,1,2,1,USP,19,76,114,91,6025.428455388939
1053,1,2,1,ASP,18,94,114,91,1549.409170479323
1579,1,2,1,USP,19,76,114,91,7381.53999069226
1579,1,2,1,ASP,18,94,114,91,1699.0092814360262
2106,1,2,1,USP,19,76,114,91,6190.64295392768
2106,1,2,1,ASP,18,94,114,91,1552.7320868657914
2632,1,2,1,USP,19,76,114,91,6274.6970991617745
2632,1,2,1,ASP,18,94,114,91,1603.087898861987
